review,sentiment
"There are exactly 2 good things to be said about ""Fantasies"" (both mentioned by a previous reviewer as well): <br /><br />a) Bo Derek's extraordinary, poetry-inspiring beauty. She has shots in this movie where she gives even Catherine Zeta-Jones a run for her money, and that's a high compliment indeed. Her nudity is brief and discreet, but just looking at her face is enough.<br /><br />b) The Greek island setting, with its sun and crystal-clear blue waters.<br /><br />Other than that, there is no story, the dialogue is abysmal and at times unintentionally funny (""He touched you where you're a woman!""), and Peter Hooten's character is a slimy jerk. Bo overplays the naivete of her character, but then again when you have to work with dialogue this bad it's unfair to blame the actors (the fact that she kept saying the name ""Damir"" in almost every sentence is a major irritation). Oh, and although the film is set on a Greek island, there is hardly a Greek word to be heard - apparently everyone there, from kids to old people, speaks English the whole time. (*)",negative
"The only thing worse than surfers without any waves is a film about surfers without any waves. For viewers who love surfing this film will be a gigantic disappointment since the total number of minutes of surfing footage struggles to reach three.<br /><br />The story is a slice of life about beached surfers who are waiting not for the perfect wave, but for any wave at all. J.C. (Sean Pertwee) is an aging super surfer who is flirting with a commitment with his girlfriend Chloe (Catherine Zeta Jones). Just as he is about to find grown up bliss with the woman he loves, three old surfing friends turn up and convince him to hit the beach looking for monster waves at the Bone Yard. The trouble is, there are no waves until the very end of the film, so most of the story dissipates itself on a meandering succession of disconnected beach happenings.<br /><br />The acting is mostly mediocre. Sean Pertwee has a few comical moments, but mostly his acting was mundane. Ewan McGregor was decent as the drug dealing wild man, by far the most interesting and peculiar character of the bunch. Probably the funniest performance was turned in by Peter Gunn as Terry who turned his corpulent body into a continual sight gag. Catherine Zeta-Jones was sexy as usual, but her character didn't really have enough meat for her to show much acting ability.<br /><br />There is really not much here on which to comment. I rated it a 3/10. It's a real beach bummer.",negative
"Like in a circle the movie leads back to its point of departure, the image of the cranes that are crossing a Muscovite sky. They represent the freedom to realize your life as you wish, in order to aspire the greatest possible fulfilment.<br /><br />In the beginning Veronica and Boris experience such a promise of happiness, and their eyes follow the path of the cranes in exhilaration. It seems as if they might be able to live according to their dreams.<br /><br />But Man is not a bird. Life draws up its own rules, from which no human can escape and which we cannot change - not even by making a supreme effort. War breaks out, and without much hesitation Boris signs up for the front in order to fulfil his patriotic duty. He cannot even say good-bye to Veronica, for she arrives late at the assembly point from which the soldiers are sent away. Surrounded by a jubilant crowd all her attempts to attract Boris' attention must inevitably fail.<br /><br />Boris eventually gets killed in war, without Veronica learning about it for the moment. His brother Mark, a vigorous musician, who obtained the exemption from military service by corruption, is eager to take his place. Veronica initially resists, but in a frightful night of bombing she finally falls victim to his charms. A marriage takes place, which is never accepted by the family.<br /><br />Soon feelings of guilt seize hold of Veronica and she realizes that Boris' return is the one and only thing she actually longs for. She therefore eases her bad conscience and despair by the self-sacrificing work in a field hospital.<br /><br />When war finally is over, once again a crowd of enthusiastic people gathers in order to cheer the victorious soldiers. Again Veronica is among them, forcing her way through a wall of bodies. In her hand she is carrying a bunch of flowers, until she finally has to give it away to complete strangers, for one of the homecomers has just dashed her hopes by confirming the sad certainty of Boris' death.<br /><br />Once again the cranes invade the sky, drawing their wayward lines. But now Veronica is watching them on her own, and the look in her eyes is a different one. She has had to accept the impossibility to live according to preconceived plans, to follow the guidelines of your dreams. For all humans are nothing but helpless puppets hanging on the inscrutable strings of fate.<br /><br />",positive
"For me personally this film goes down in my top four of all time. No exceptions. James Cameron has proved himself time and time again that he is a master storyteller. Through films such as Aliens, The Abyss and both Terminators it is clear that he was a brilliant and confidant director as far as action and science-fiction goes. He sees a story and adds a strange quality to the film. But Titanic is so much different to his other strokes of brilliance. The film is exceptionally moving and allows room for surprises, plot development and interesting character developments in a story that everyone knows. The story of the famed voyager sinking on her maiden voyage is legend so the challenge was for Cameron to make a truthful, interesting and entertaining film about it. The acting is wonderful as Leonardo DiCaprio who plays Jack and Kate Winslet who plays Rose became superstars overnight with the release of this film and in most films I get annoyed when the supporting characters aren't given a lot to do but in this film it is more purposeful because as an elderly Rose (Gloria Stuart) tells her story it is quickly apparent that it is Rose's and Jack's story alone, no one else. Emotionally it is entirely satisfying and can leave no dry eye in a theater or home. The music has become iconic and legendary. It is composer James Horner's finest soundtrack ever and evokes so much from the film and the audience. The song after so long has become annoying but I still appreciate it for the phenomenon it is and this film is. Only one problem, the usual James Cameron problem, is the dialogue which is memorable but in a bad way as in how cheesy it is at points but all that aside. James Cameron has delivered a masterpiece and a romantic epic that sweeps you away on a journey of a lifetime. My heart won't go on from this one.",positive
"We're a long way from LAURA. Once again Otto Preminger directs, Dana Andrews stars as a police detective named Mark, and Gene Tierney is the beautiful woman who haunts him, but nothing else about WHERE THE SIDEWALK ENDS resembles everyone's favorite sophisticated murder mystery. Instead of deliciously quotable dialogue we get gritty, harrowing realism. While the earlier film took place in the ritzy upper echelons of New York society, here we're in the low-rent district of dark streets, hoodlums, cheap restaurants and crummy flats. Tierney, gorgeous as ever, now works as a department-store mannequin and lives in Washington Heights (the neighborhood of the ""doll"" who once got a fox fur out of LAURA's Mark McPherson). This time Andrews is Mark Dixon, an older, sadder, more troubled version of the cool cop in a trench coat. <br /><br />WHERE THE SIDEWALK ENDS belongs to a sub-genre of noir, movies about police brutality focusing on cops who can't control their violent impulses. Like Kirk Douglas's character in DETECTIVE STORY, Dixon owes his seething contempt for crooks to his father's criminal past. Where Douglas is self-righteous and blind to his own faults, Andrews is burdened by repressed guilt and self-loathing. He accidentally kills a suspect and covers up his actions with an attempt to throw suspicion on a slimy gangster (Gary Merrill) whom he has been vainly pursuing for years. Instead, a kindly cab driver is suspected because he's the father of the dead man's estranged and mistreated wife Morgan (Gene Tierney). Dixon, falling in love with the wife of the man he killed, tries desperately to save her father without giving himself away. <br /><br />Among noir protagonists, Dana Andrews had this distinction: he was incapable of appearing unintelligent. Even when playing an average Joe, as he usually did, he always comes across as unusually sensitive and perceptive; more than that, his air of being too thoughtful for his own comfort gives him that haunted--and haunting--quality that was his essence as an actor. He played ordinary guys, cops and soldiers, but always with a tragic undercurrent of seeing and knowing too much. His conscientious heroes are marked by exhaustion, guilt, the inability ever to ""lighten up."" No other actor could have expressed so well the bottled-up anger, the slow-burning pain, the agonized intelligence of Mark Dixon. He also has a muted tenderness, a muffled warmth and even wry humor that make him heartbreaking. This comes out when he takes Morgan to a restaurant where he's a regular, and for the first time we see this cold, brutal man trading mock insults with the waitress, whose sarcasm can't hide her affection and concern for him. When Dixon asks his partner for money to get a lawyer for Morgan's father, he supplies it even though they recently argued and Dixon threw a punch at him. There are no words about loyalty or knowing he's a good guy deep down, but we see it all in the man's anguished silence and his wife's resignation as she hands over some jewelry to pawn. Dixon's goodness comes across through other people's reactions to him as much as through Andrews's deeply moving performance. <br /><br />Though Dana Andrews was a minor star, he may be the quintessential forties man. He goes through some movies hardly ever taking off his overcoat; with that boxy, mid-century silhouette, further fortified by the fedora, the glass of bourbon, the cigarette he doesn't take out of his mouth when he talks, he looks imprisoned in the masculine ideal of toughness and impassivity. While many noirs romanticize the two-fisted tough guy, WHERE THE SIDEWALK ENDS offers an unflinching portrait of the reality behind the façade, a gripping and melancholy exploration of the roots and consequences of violence.<br /><br />Andrews was sadly underrated in his own time (he was the only one of the three protagonists in THE BEST YEARS OF OUR LIVES not nominated for an Academy Award, though his low-key performance is far more compelling than Frederic March's hammy, Oscar-winning drunk). Fortunately, Andrews appeared in some films that ensured his immortality, and now at last this little-known film, which contains his best performance, can be seen as part of the marvelous Fox Film Noir set. This series, including a number of never before released titles (such as NIGHTMARE ALLEY and THIEVES' HIGHWAY), suggests that Twentieth-Century-Fox may have had the finest record of all the major studios when it came to film noir.",positive
"The `plot' of this film contains a few holes you could drive a massive truck through, but I reckon that isn't always top priority in horror. Two elderly sisters in rural England keep their brother in the cellar since more than 30 years. Now, he escaped and started a killing spree, focusing on militaries that are homed nearby. `We only did we thought was best for him' they keep on repeating and  strangely  all the army officers love these women and don't doubt their sincerity, even though 5 of their men died. I don't know whether to find the revelation near the end suspenseful  or tedious! In a way, this film reminded me about `Arsenic and Old Lace'. In that black-comedy classic, two half-insane siblings mother their goofy younger brother as well, yet they do the killing there. The old ladies in `The Beast in the Cellar' are by no means less crazy, though. The `horror' in this early 70's film is very amateurish and cheap, but there are a few neat attempts to build up the tension. Too many `old-ladies' talk about the good ol' days, though and that rarely is something you seek in a horror film with such an appealing title. Flora Robson, who may be recognized by classic film buffs, plays one of the sisters. She gave image to the Queen of England is the legendary Errol Flynn swashbuckler film, the Sea Hawk.",negative
"The numbers don't lie, 109 people have voted for this film. That says a great deal about the standing of one of the most intuitively insightful comedians of the late 20th century. And for those of you who know the work of Bill Hicks, if he were alive today, imagine what he would have to say about the boy president from his home state? That his short career remains unrecognized is a sad situation and this film, or rather these two films explain why. First, you see how his talent was obvious from the start, again and again, those who knew Bill Hicks always say he was not only funny, he was also unique. The film also shows how the quality of his material was too challenging for many in the entertainment industry. His drinking also contributed to his career problems, but that is less evident in this film. And then the second film is a complete performance. If you have never seen or heard Bill Hicks, this is a wonderful introduction to the person and his dark but intelligent humor. Especially due to the fact that the topics are now almost 14 years old, yet remain ironically up to date is underlined by the fact that many of the events took place under the first President Bush.<br /><br />Watching them together - first the biography and then the performance - makes you aware of how greatly talented this young man was, how quickly his life passed and how the American media can sometimes act as the great big homogenizer. Let's make sure nothing is too provocative, nothing will be too interesting And the result? Well, as the man himself said, go to sleep America, your government is in control........... In his lifetime, at least in Great Britian this artist was recognized for his talent and was successful there. 11 years after his death, 109 people at IMDb can say something about the film. After you've seen them both, I hope you understand why more people should be listening to Bill Hicks.",positive
"A swedish splatter movie? Has the world gone insane?<br /><br />Probably not, but it's still not a common sight in these days with swedish gore-flicks, the b-movie business in Sweden seems to have troubles these days, long gone are the golden days of ""Rymdinvasion i lappland"". And this movie seems to have some troubles on its own: it's just too much talk in it, it still manages to be somewhat amusing mainly for the good FX, which are great for a b-movie. The script and most of the acting is still pretty bad though, but that actually don't matter that much, it's supposed to be a gore flick and nothing more, that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10",negative
"William Shakespeare's plays are classified as comedy, tragedy, or history. Some of his most memorable --and most often read -- creations provide us with wistful humor, gentle poetry and hilarious slapstick. Some of them survive as unforgettable dramas of compelling depth and gravity. Regardless, he was able to write with unparalleled skill and inventiveness, contributing greatly to our young language. So in what category lies The Merchant of Venice ? I was very surprised to find it is one of Shakespeare's comedies. I had never before read it nor seen it, but after watching this most recent film version I have decided it is neither and it is both. This is one of many questions the viewer must try to answer when coming to terms with what is clearly a perplexing and deeply troubling moral tragedy.<br /><br />The players are introduced quickly, and simply. One of them, firstly, is Venice itself; director Michael Radford filmed the Venetian scenes in the actual city, creating an impressively vibrant, bustling backdrop to the play's proceedings. To this scenery enters the youthful Bassanio (Joseph Fiennes), returning to Venice to see a dear old friend, Antonio (Jeremy Irons). It seems the poor Bassanio has heard of a princess whose father has died and has left to any potential suitors a lottery of sorts. Waiting at the fair lady's island estate are three small trunks, <br /><br />only one of which contains ""images of the princess"". He who can guess the right one, using only blind intuition and the cryptic teasers written upon them, will be bestowed the father's huge fortune for life. Oh, and his daughter and her eternal love in marriage, I forgot to mention. Here the light comedy of Shakespeare takes over the movie. This farcical plot element drives the story and also fills up much of the film's screen time, as a number of painfully eager opportunists arrive at the island, humorously vying for and failing to earn this very wealthy hand in marriage. But before any of this occurs Bassanio, very much lacking in finances, entreats Antonio to loan him three thousand ducats to pay for the lengthy journey he must take to have his shot at the prize. <br /><br />Antonio, himself nearly penniless, must reluctantly embrace humility by seeking the financial aid of Shylock (Al Pacino), one of countless Jewish usurers who keep the sagging economy afloat yet are scorned and persecuted to no end by the city's zealously Christian majority. Thus they dwell in society's underbelly, and it is here the two borrowers must go. Shylock does not hesitate to remind the two men of a certain incident where Antonio insulted and spat on him in the city market, and he proudly rebukes this man who frankly has a lot of nerve now coming to ask for help. But help him Shylock does. He even erases any kind of interest on the loan, most likely feeling he has no reason to be concerned if Antonio will be able to repay him within three months. Still, Shylock's one contractual demand is a pound of Antonio's flesh, should he renege on their agreement. This is an unsettling request, to be sure, for Antonio and Bassanio as well as for us. But it appears that despite his justifiable pride Shylock does not really anticipate seeing such a gruesome act occurring. <br /><br />So here the dramatic groundwork has been laid. And while the film goes off to explore its gentler side with its love lottery and mistaken identities, there still looms the gloomy prospect of the loan itself. In the end, what will become of this ominous agreement? Meanwhile we are left at turns to explore the true central character of Shylock. Al Pacino has ample dramatic weight to carry here, and he does so with convincing grit and passion. There are times when he is given room for the theatrics we have come to expect from such a colorful actor. But his most impressive scenes are the ones where he internalizes this energy, showing a conflicted personality: honest, sincere, and proud, yet brooding, vengeful and entirely remorseless. This is one of Pacino's most heartfelt performances to date. And while the rest of the cast play their roles creditably and convincingly, it is Pacino who really owns the film -- especially toward the end, when Shakespeare upends this seeming romantic comedy with a wallop of a third act.<br /><br />I shall not reveal much here; all I can say is that it involves the initial loan -- a mighty shoe one expected would drop sooner or later. And does it ever. By the end Shakespeare has raised a host of dilemmas for his audience: seemingly unresolvable questions of faith, morality, law, and mercy are thrown before us through the final scenes, and while by curtain's close the playwright's position may seem clear to some, we are left completely at odds. There are winners and losers in this one, but have the winners earned their spoils with good reason, or have they in a larger sense ended out losing as well? Has virtue been rewarded, or simply flouted? Has justice in fact this time been just? By the play's finish some fates are painfully clear, and unequivocally sealed. But the audience are to be the ones who really decide the verdict for all of those involved. And for some the verdict is still out for the play as well. Comedy or tragedy? The author has cunningly veiled the intense courtroom finale with an ending of light mirth and pat romantic resolutions. Is he saying that all is well that ends well, or is this his final, ironic condemnation? The play's humor serves to set us up nicely for such a heavy crash. And while it is also what unfortunately keeps The Merchant of Venice from achieving the greatness of so many of Shakespeare's other works, it is still engaging, amusing, and thought-provoking beyond measure.",positive
"I may not have the longest of attention-spans, but this is the second movie I have refused to see all the way through, and I even bought it on DVD because of its ""classic"" status. <br /><br />At first, I thought that the director was playing a big joke, so I kept waiting for a resolution, something to laugh at, something to keep my interest, but this resolution never came. Rather, the writing was laughably amateurish, the movie dragged on and felt disjointed, like someone cut a TV series to feature-length. The Academy must have been on drugs when they nominated this movie for no less than eight Oscars.<br /><br />Once again, I repeat myself. This is the second movie I have refused to watch all the way through. The first was ""Exterminator"". I hope this gives you an indication of how bad it really is. 1/10",negative
"I spent 5 hours drenched in this film. Nothing I have ever seen comes close to the delicious funk this film left me in. Never mind females advanced aging dilemma's, human fear vaults off the screen for your viewing. Personally engaging to the ninth degree, the film invests one with an undeniable shared feeling for our lives'. I enjoyed this dalliance with raw wounded gall deep from within. It empowers a mutually shared vestment in the history of human encounters reaching far deeper into the pain, isolation and skewed views of self and others. The result forgives our tepid forming of a bridge away from the muddy sludge of dead we must encounter. The birth in finding real people is a happy pursuit. The effort for realism intersects with the dark ground of our bankrupt culture.",positive
"I was never all that impressed by Night Gallery, but this one episode stands out.<br /><br />A TV network executive auditions an odd act - a young, nerdy boy who proceeds to make prognostications. The exec dismisses the whole thing as a flaky waste of time until both predictions come true the next morning.<br /><br />What first seemed a parlor act becomes a hit show as the kid's predictions prove consistently accurate.<br /><br />Then, one day, he refuses to do the show. Facing imminent showtime, everyone's at wit's end, even threatening him with legal action if he doesn't fulfill his contract and make his daily predictions.<br /><br />The young boy relents, and foretells a seemingly utopian tomorrow.<br /><br />After the show, the befuddled executive asks for an explanation, only to learn why the complete truth is too terrifying to reveal.",positive
